Product Sizes,,,,
,Size,What Fabric to use,,
4.5tog,S,220 Fabric,,
,D,220 Fabric,,
,K,245 Fabric,,
,X,245 Fabric,,
9.0tog,S,220 Fabric,,
,D,220 Fabric,,
,K,245 Fabric,,
,X,245 Fabric,,
10.5,S,220 Fabric,,
,D,220 Fabric,,
,K,245 Fabric,,
,X,245 Fabric,,
13.5,S,220 Fabric,,
,D,220 Fabric,,
,K,245 Fabric,,
,X,245 Fabric,,
15,S,220 Fabric,,
,D,220 Fabric,,
,K,245 Fabric,,
,X,245 Fabric,,
13.5 ALL Seasons ,S,220 Fabric * 2,,
,D,220 Fabric * 2,,
,K,245 Fabric * 2,,
,X,245 Fabric * 2,,
15 ALL Seasons ,S,220 Fabric * 2,,
,D,220 Fabric * 2,,
,K,245 Fabric * 2,,
,X,245 Fabric * 2,,